Average Train Loss 0.00299760 | step 2950 | Epoch 0
Average Train Loss 0.00300418 | step 2960 | Epoch 0
Average Train Loss 0.00305655 | step 2970 | Epoch 0
Average Train Loss 0.00303203 | step 2980 | Epoch 0
Average Train Loss 0.00311194 | step 2990 | Epoch 0
Average Train Loss 0.00305751 | step 3000 | Epoch 0
Average Validation Loss 0.00301296 | step 3000 | Epoch 0
Average Train Loss 0.00291166 | step 3010 | Epoch 0
Average Train Loss 0.00316313 | step 3020 | Epoch 0
Average Train Loss 0.00315264 | step 3030 | Epoch 0
Average Train Loss 0.00291919 | step 3040 | Epoch 0
Average Train Loss 0.00289527 | step 3050 | Epoch 0
Average Train Loss 0.00303316 | step 3060 | Epoch 0
Average Train Loss 0.00319888 | step 3070 | Epoch 0
Average Train Loss 0.00294663 | step 3080 | Epoch 0
Average Train Loss 0.00294274 | step 3090 | Epoch 0
Average Train Loss 0.00317071 | step 3100 | Epoch 0
Average Train Loss 0.00296390 | step 3110 | Epoch 0
Average Train Loss 0.00292921 | step 3120 | Epoch 0
Average Train Loss 0.00308726 | step 3130 | Epoch 0
Average Train Loss 0.00312913 | step 3140 | Epoch 0
Average Train Loss 0.00294804 | step 3150 | Epoch 0
Average Train Loss 0.00289858 | step 3160 | Epoch 0
Average Train Loss 0.00295368 | step 3170 | Epoch 0
Average Train Loss 0.00286681 | step 3180 | Epoch 0
Average Train Loss 0.00277429 | step 3190 | Epoch 0
Average Train Loss 0.00275214 | step 3200 | Epoch 0
Average Train Loss 0.00303620 | step 3210 | Epoch 0
Average Train Loss 0.00309078 | step 3220 | Epoch 0
Average Train Loss 0.00307423 | step 3230 | Epoch 0
Average Train Loss 0.00310055 | step 3240 | Epoch 0
Average Train Loss 0.00304072 | step 3250 | Epoch 0
Average Train Loss 0.00296162 | step 3260 | Epoch 0
Average Train Loss 0.00291338 | step 3270 | Epoch 0
Average Train Loss 0.00275580 | step 3280 | Epoch 0
Average Train Loss 0.00320171 | step 3290 | Epoch 0
Average Train Loss 0.00276291 | step 3300 | Epoch 0
Average Train Loss 0.00283211 | step 3310 | Epoch 0
Average Train Loss 0.00283711 | step 3320 | Epoch 0
Average Train Loss 0.00277941 | step 3330 | Epoch 0
Average Train Loss 0.00310507 | step 3340 | Epoch 0
Average Train Loss 0.00300274 | step 3350 | Epoch 0
Average Train Loss 0.00291346 | step 3360 | Epoch 0
Average Train Loss 0.00280591 | step 3370 | Epoch 0
Average Train Loss 0.00288102 | step 3380 | Epoch 0
Average Train Loss 0.00278351 | step 3390 | Epoch 0
Average Train Loss 0.00282839 | step 3400 | Epoch 0
Average Train Loss 0.00300773 | step 3410 | Epoch 0
Average Train Loss 0.00262358 | step 3420 | Epoch 0
Average Train Loss 0.00293449 | step 3430 | Epoch 0
Average Train Loss 0.00298388 | step 3440 | Epoch 0
Average Train Loss 0.00292313 | step 3450 | Epoch 0
Average Train Loss 0.00307307 | step 3460 | Epoch 0
Average Train Loss 0.00294078 | step 3470 | Epoch 0
Average Train Loss 0.00332204 | step 3480 | Epoch 0
Average Train Loss 0.00307967 | step 3490 | Epoch 0
Average Train Loss 0.00304283 | step 3500 | Epoch 0
Average Train Loss 0.00282287 | step 3510 | Epoch 0
Average Train Loss 0.00294063 | step 3520 | Epoch 0
Average Train Loss 0.00273037 | step 3530 | Epoch 0
Average Train Loss 0.00290373 | step 3540 | Epoch 0
Average Train Loss 0.00312006 | step 3550 | Epoch 0
Average Train Loss 0.00258257 | step 3560 | Epoch 0
Average Train Loss 0.00287251 | step 3570 | Epoch 0
Average Train Loss 0.00271627 | step 3580 | Epoch 0
Average Train Loss 0.00273341 | step 3590 | Epoch 0
Average Train Loss 0.00278092 | step 3600 | Epoch 0
Average Train Loss 0.00305276 | step 3610 | Epoch 0
Average Train Loss 0.00286418 | step 3620 | Epoch 0
Average Train Loss 0.00313890 | step 3630 | Epoch 0
Average Train Loss 0.00289574 | step 3640 | Epoch 0
Average Train Loss 0.00279107 | step 3650 | Epoch 0
Average Train Loss 0.00285910 | step 3660 | Epoch 0
Average Train Loss 0.00285749 | step 3670 | Epoch 0
Average Train Loss 0.00294535 | step 3680 | Epoch 0
Average Train Loss 0.00292680 | step 3690 | Epoch 0
Average Train Loss 0.00293936 | step 3700 | Epoch 0
Average Train Loss 0.00294416 | step 3710 | Epoch 0
Average Train Loss 0.00278490 | step 3720 | Epoch 0
Average Train Loss 0.00284227 | step 3730 | Epoch 0
Average Train Loss 0.00300200 | step 3740 | Epoch 0
Average Train Loss 0.00282803 | step 3750 | Epoch 0
Average Train Loss 0.00295788 | step 3760 | Epoch 0
Average Train Loss 0.00269271 | step 3770 | Epoch 0
Average Train Loss 0.00292117 | step 3780 | Epoch 0
Average Train Loss 0.00280144 | step 3790 | Epoch 0
Average Train Loss 0.00277738 | step 3800 | Epoch 0
Average Train Loss 0.00270406 | step 3810 | Epoch 0
